source,filename,relative_path,absolute_path,pages,sha256,title,author
NCERT,kemh104.pdf,kemh1dd/kemh104.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh104.pdf,13,a1c0708f4588b85d75254bd1825c4248598c1dc0da482056225d411d40a638e2,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_4\Ch_04 FINAL _04.01.PMD,admin
NCERT,kemh105.pdf,kemh1dd/kemh105.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh105.pdf,11,fb49d11c1f59ca25c9b0a9489cf808fe25ecd871aabf07a3c7142c9e896bd3d1,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_5\Linear Ineaqualities.PMD,admin
NCERT,kemh106.pdf,kemh1dd/kemh106.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh106.pdf,26,14d21d90a15339a19a4a32b773b3f23618c061d0d55cd444cca3a1295400bd42,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_7\Permutation and Combinations.PMD,admin
NCERT,kemh107.pdf,kemh1dd/kemh107.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh107.pdf,9,421f2fb76773dc87f109f7a5eb9c27b997d540759a070084e15190e107c52d0a,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_8\Binomial Theorem FINAL.PMD,admin
NCERT,kemh108.pdf,kemh1dd/kemh108.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh108.pdf,16,981289b5700e34750d420c072e0e24b7c63147a9fe0c9e13d25b3f03e3478aba,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_8\Sequence & Series.PMD,admin
NCERT,kemh109.pdf,kemh1dd/kemh109.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh109.pdf,25,a162e0c15553689ad82f91b3595c87dcbc4b9f03a0a31660f61da1871167d385,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_9\Chapter_9 Straight Lines.PMD,admin
NCERT,kemh110.pdf,kemh1dd/kemh110.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh110.pdf,32,f4c1153fc0b2d647b2e67e46b83fb790d630936a6c2c5a402d2a4b44ff5bde4b,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_10\Conic Section.PMD,admin
NCERT,kemh111.pdf,kemh1dd/kemh111.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh111.pdf,9,a122b628970880c7a9738ba64a440e55d16a931800ae0e0e162cf7d5f9cef561,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_11\Chapter-11.PMD,admin
NCERT,kemh112.pdf,kemh1dd/kemh112.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh112.pdf,40,958f84db2b6254741392033e67e2467c55742af4f21b54065334982f703b1ce0,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_12\Limit and Derivatives.PMD,admin
NCERT,kemh113.pdf,kemh1dd/kemh113.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh113.pdf,32,a49176920c5960318e0912b79de0190e55f3d4f6d9d2a0af3d7623bad5244a6a,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_13\Statistical.PMD,admin
